first,second,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
3,pos,[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]],[[  1. 142.   3.]]
3,distance,92.01086892318754,75.03374240966527,68.90029027515051,76.27294736667778,94.02659198333204,105.19980988575978,90.72520322380105,85.72193418256496,91.75272475518098,106.96728471827262,120.21231218140677,107.77319935865317,103.59657330240223,108.63959913401743,121.76206305742359,135.06294828708576,124.12116056498988,120.5124474898755,124.87418668403811,136.444127759314
3,received_energy,-71.69793427472163,-73.8973701703748,-72.09644419774556,-73.71385825025685,-73.73336093625443,-74.23827493122492,-74.62249021473296,-72.65600082159422,-75.73378033878994,-80.3510372180445,-77.1330111231439,-75.30586491453701,-75.10804022841603,-73.8794844790203,-78.41874414817221,-82.2272649193194,-74.83253112441945,-76.25216632930757,-77.09249700734472,-81.74770679950258
3,Max_amplitude,8.312085631070147e-09,1.0826049504627538e-08,1.2848724249081309e-08,1.1824424392547912e-08,7.576698552060806e-09,3.930248482358392e-09,6.655642842971614e-09,7.945843530365584e-09,7.0569982326876435e-09,1.903224451713962e-09,2.6136655204151645e-09,4.425170501304165e-09,5.23817506244834e-09,4.6314823001274265e-09,2.640401730250531e-09,1.2289946962150272e-09,3.2064908774214034e-09,3.755519390504236e-09,3.314744118326636e-09,2.085018960539677e-09
3,mean_excess_delay,3.073479999999999e-07,2.5793199999999993e-07,2.29826e-07,2.5971799999999994e-07,3.14271e-07,4.893829999999999e-07,3.1380199999999997e-07,2.8593699999999995e-07,3.1501000000000007e-07,5.914580000000002e-07,5.24971e-07,3.7330499999999997e-07,3.455599999999999e-07,3.742060000000001e-07,5.282179999999998e-07,7.01821e-07,4.2966700000000014e-07,4.0198599999999996e-07,4.30391e-07,5.818679999999998e-07
3,delay_spread,1.0587911840678754e-22,5.293955920339377e-23,2.6469779601696886e-23,5.293955920339377e-23,0.0,1.0587911840678754e-22,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,2.117582368135751e-22,1.0587911840678754e-22,0.0,5.293955920339377e-23,1.5881867761018134e-22,1.0587911840678754e-22,0.0,1.5881867761018136e-22,5.293955920339377e-23,0.0,2.117582368135751e-22
3,kurtosis,15.0,13.0,9.999999999999998,16.999999999999996,11.0,15.0,19.000000000000004,12.0,13.0,8.0,12.0,19.0,17.0,19.999999999999996,9.999999999999998,11.0,25.000000000000004,13.0,13.000000000000002,8.0
3,delay,[3.07348e-07],[2.57932e-07],[2.29826e-07],[2.59718e-07],[3.14271e-07],[4.89383e-07],[3.13802e-07],[2.85937e-07],[3.1501e-07],[5.91458e-07],[5.24971e-07],[3.73305e-07],[3.4556e-07],[3.74206e-07],[5.28218e-07],[7.01821e-07],[4.29667e-07],[4.01986e-07],[4.30391e-07],[5.81868e-07]
3,bias,[0.19353108],[2.34585759],[0.04750972],[1.64245263],[0.25470802],[41.61509011],[3.41539678],[0.05916582],[2.75027524],[70.47011528],[37.27898782],[4.21830064],[0.0714267],[3.62220087],[36.70333694],[75.48335171],[4.77893944],[0.08335251],[4.24311332],[38.11627224]
3,b_est,[15.686161],[54.389256],[47.915615],[0.27342552],[36.69858],[0.27745765],[54.389256],[10.8226],[-0.09680419],[3.7496734],[1.1631694],[11.47205],[54.389256],[6.6333385],[14.573506],[54.389256],[7.445143],[-0.37609726],[50.414757],[19.860828]
3,label,LOS,LOS,NLOS,LOS,LOS,LOS,LOS,NLOS,LOS,LOS,LOS,LOS,NLOS,LOS,LOS,LOS,LOS,NLOS,LOS,LOS
8,pos,[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]],[[ 48. 142.   3.]]
8,distance,65.4446330878247,38.04027470983878,23.753947040439407,40.42972297703758,68.24954212300622,72.70488291717415,49.498106024372284,39.588508433635134,51.357204947309974,75.23961722390672,83.5344240418284,64.35885719930086,57.089841478147406,65.79941109158956,85.74963556773871,95.7653381970742,79.59310585722861,73.83935265155024,80.76238295147067,97.70363350459388
8,received_energy,-69.87087457837686,-68.31766488334479,-65.67832695217918,-68.74195736210788,-69.77150636712862,-70.56440861927251,-69.96818003976608,-70.58200559293019,-70.18950442070508,-71.29928425605871,-71.7203775152885,-74.29459741033854,-70.02906825915805,-72.83662098395037,-71.79022257213305,-75.87500088574996,-72.13767393557474,-72.29829620395924,-74.29884614636019,-76.97075889010246
8,Max_amplitude,1.5277419664100432e-08,4.746789889613624e-08,1.3375807461447463e-07,4.1514518833023244e-08,1.9403497038351205e-08,6.770176775705869e-09,1.6983218951852005e-08,4.3480047380891123e-08,2.055843298950049e-08,6.776727284057598e-09,1.2433975539401329e-08,7.719514879804863e-09,1.943166473175311e-08,8.228866348676696e-09,1.2333320250830151e-08,2.2582395471919444e-09,5.86300154558442e-09,1.1033416398857545e-08,4.807507923255978e-09,2.1035847255390403e-09
8,mean_excess_delay,2.1830599999999997e-07,1.2688900000000002e-07,7.923449999999997e-08,1.3485900000000008e-07,2.27528e-07,3.5567799999999986e-07,1.7075899999999997e-07,1.32053e-07,1.7425499999999997e-07,3.46525e-07,2.7868200000000006e-07,2.285709999999999e-07,1.9043099999999997e-07,2.3036099999999998e-07,2.8601899999999994e-07,4.3288299999999987e-07,3.9150999999999983e-07,2.46301e-07,2.855400000000001e-07,3.8558599999999994e-07
8,delay_spread,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,7.940933880509067e-23,0.0,1.0587911840678754e-22,0.0,0.0,2.6469779601696886e-23,0.0,1.0587911840678754e-22,7.940933880509066e-23,2.6469779601696886e-23,2.6469779601696886e-23,5.293955920339377e-23,1.0587911840678754e-22,1.5881867761018131e-22,0.0,1.0587911840678754e-22,0.0
8,kurtosis,16.0,15.0,4.0,17.000000000000004,15.0,21.000000000000004,14.000000000000002,0.0,18.000000000000004,19.0,15.000000000000002,14.000000000000002,12.0,21.0,10.999999999999996,17.0,24.999999999999996,0.0,21.0,14.000000000000005
8,delay,[2.18306e-07],[1.26889e-07],[7.92345e-08],[1.34859e-07],[2.27528e-07],[3.55678e-07],[1.70759e-07],[1.32053e-07],[1.74255e-07],[3.46525e-07],[2.78682e-07],[2.28571e-07],[1.90431e-07],[2.30361e-07],[2.86019e-07],[4.32883e-07],[3.9151e-07],[2.46301e-07],[2.8554e-07],[3.85586e-07]
8,bias,[0.04716691],[0.02642529],[0.01640296],[0.02797702],[0.00885788],[33.99851708],[1.72959398],[0.02739157],[0.91929505],[28.71788278],[0.07017596],[4.2124428],[0.03945852],[3.30888891],[0.05606443],[34.0995618],[37.85989414],[0.05094735],[4.89961705],[17.9721665]
8,b_est,[6.799789],[54.389256],[54.389256],[-0.44804245],[6.210731],[1.4611182],[0.30534118],[54.389256],[14.187809],[0.20387025],[0.26330894],[54.389256],[0.2183928],[0.24746843],[21.103397],[54.388924],[6.427675],[22.123852],[54.387497],[14.644385]
8,label,NLOS,NLOS,NLOS,NLOS,NLOS,LOS,LOS,NLOS,LOS,LOS,LOS,LOS,NLOS,LOS,NLOS,LOS,LOS,NLOS,LOS,LOS
